id_nodo,latitud,longitud,tipo,estado
N001,-16.23,-71.21,cuadra,transitable
N002,-16.24,-71.215,cuadra,obstaculo
N003,-16.235,-71.212,tubo,transitable
N004,-16.238,-71.218,tubo,transitable
N005,-16.242,-71.22,cuadra,transitable
N006,-16.4303,-71.5279,cuadra,transitable
D001,-16.364958,-71.51416,tubo,transitable
D002,-16.370273,-71.502447,valvula,transitable
D003,-16.379945,-71.515085,cuadra,obstaculo
D004,-16.435758,-71.526752,valvula,transitable
D005,-16.36272,-71.534664,tubo,obstaculo
D006,-16.41516,-71.510154,tubo,obstaculo
D007,-16.409865,-71.525276,cuadra,obstaculo
D008,-16.412847,-71.576917,tubo,transitable
D009,-16.380314,-71.579748,valvula,obstaculo
D010,-16.35344,-71.551001,tubo,transitable
D011,-16.408794,-71.561177,valvula,transitable
D012,-16.442643,-71.585,tubo,transitable
D013,-16.382866,-71.503609,cuadra,transitable
D014,-16.444771,-71.554057,tubo,transitable
D015,-16.380238,-71.514596,tubo,transitable
D016,-16.413733,-71.525497,cuadra,transitable
D017,-16.386671,-71.595241,tubo,transitable
D018,-16.417871,-71.596152,cuadra,transitable
D019,-16.429111,-71.571154,bomba,transitable
D020,-16.370379,-71.564085,tubo,obstaculo
D021,-16.428599,-71.573277,cuadra,transitable
D022,-16.436765,-71.520147,tubo,transitable
D023,-16.37821,-71.548942,tubo,obstaculo
D024,-16.435784,-71.524333,bomba,transitable
D025,-16.417014,-71.539851,valvula,transitable
D026,-16.357676,-71.506606,valvula,transitable
D027,-16.392035,-71.57394,tubo,transitable
D028,-16.395603,-71.56786,bomba,transitable
D029,-16.352132,-71.569074,cuadra,obstaculo
D030,-16.373359,-71.552408,bomba,transitable
D031,-16.4132,-71.553204,cuadra,transitable
D032,-16.360691,-71.544334,cuadra,obstaculo
D033,-16.413072,-71.545891,cuadra,obstaculo
D034,-16.368873,-71.517548,cuadra,transitable
D035,-16.373364,-71.559383,bomba,obstaculo
D036,-16.355776,-71.507539,tubo,transitable
D037,-16.38029,-71.51805,tubo,transitable
D038,-16.415138,-71.526068,tubo,transitable
D039,-16.36925,-71.517465,valvula,transitable
D040,-16.433384,-71.563996,valvula,transitable
D041,-16.429615,-71.529832,valvula,obstaculo
D042,-16.409115,-71.519461,tubo,transitable
D043,-16.4116,-71.571789,tubo,transitable
D044,-16.350614,-71.53212,cuadra,transitable
D045,-16.419096,-71.567931,cuadra,transitable
D046,-16.355657,-71.55092,valvula,transitable
D047,-16.359038,-71.573147,valvula,transitable
D048,-16.40236,-71.544357,valvula,transitable
D049,-16.352398,-71.500181,tubo,obstaculo
D050,-16.371533,-71.545118,valvula,transitable
D051,-16.361971,-71.54978,tubo,transitable
D052,-16.444292,-71.542081,tubo,transitable
D053,-16.354453,-71.524874,tubo,obstaculo
D054,-16.360824,-71.585139,cuadra,transitable
D055,-16.387261,-71.5046,bomba,transitable
D056,-16.419101,-71.571768,valvula,obstaculo
D057,-16.384621,-71.550854,bomba,obstaculo
D058,-16.403999,-71.566705,bomba,transitable
D059,-16.395302,-71.590273,cuadra,transitable
D060,-16.432278,-71.592367,bomba,transitable
D061,-16.398002,-71.55167,valvula,transitable
D062,-16.386931,-71.570754,bomba,obstaculo
D063,-16.443305,-71.585262,tubo,transitable
D064,-16.424833,-71.57413,valvula,transitable
D065,-16.417571,-71.589552,valvula,obstaculo
D066,-16.366112,-71.591684,cuadra,transitable
D067,-16.440676,-71.567025,valvula,obstaculo
D068,-16.402385,-71.549975,tubo,transitable
D069,-16.358119,-71.571511,tubo,transitable
D070,-16.432021,-71.512278,cuadra,transitable
D071,-16.359273,-71.579308,tubo,transitable
D072,-16.411597,-71.572525,cuadra,transitable
D073,-16.356426,-71.554631,bomba,obstaculo
D074,-16.377554,-71.562102,tubo,transitable
D075,-16.371381,-71.552391,bomba,obstaculo
D076,-16.396891,-71.525688,cuadra,transitable
