nombre,latitud,longitud,tipo,prioridad,poblacion_afectada
PC_0001,-16.364251,-71.55171,obra,alta,505
PC_0002,-16.383637,-71.546463,hundimiento,baja,299
PC_0003,-16.35989,-71.534711,deslizamiento,alta,335
PC_0004,-16.411872,-71.555515,hundimiento,media,2384
PC_0005,-16.437004,-71.535052,hundimiento,alta,3457
PC_0006,-16.443693,-71.532834,hundimiento,alta,2093
PC_0007,-16.403894,-71.516648,obra,alta,2707
PC_0008,-16.431181,-71.555792,hundimiento,alta,4808
PC_0009,-16.439638,-71.548825,hundimiento,baja,3744
PC_0010,-16.358703,-71.507796,hundimiento,media,957
PC_0011,-16.432179,-71.567397,obra,alta,4278
PC_0012,-16.435899,-71.530199,inundacion,baja,1949
PC_0013,-16.382384,-71.51118,deslizamiento,baja,4061
PC_0014,-16.389858,-71.595725,obra,alta,3823
PC_0015,-16.424851,-71.529949,inundacion,baja,1759
PC_0016,-16.395707,-71.559457,contaminacion,baja,2537
PC_0017,-16.3653,-71.512264,deslizamiento,baja,1974
PC_0018,-16.364314,-71.547089,inundacion,alta,4987
PC_0019,-16.394059,-71.57161,obra,alta,251
PC_0020,-16.379885,-71.535271,contaminacion,media,1214
PC_0021,-16.362882,-71.546808,obra,baja,345
PC_0022,-16.433427,-71.522498,contaminacion,baja,917
PC_0023,-16.4034,-71.555479,contaminacion,media,3305
PC_0024,-16.369962,-71.523634,deslizamiento,alta,2121
PC_0025,-16.425372,-71.556134,deslizamiento,baja,2403
PC_0026,-16.4238,-71.556335,deslizamiento,baja,2223
PC_0027,-16.412125,-71.506306,contaminacion,baja,3821
PC_0028,-16.380968,-71.588017,obra,baja,1429
PC_0029,-16.417711,-71.563981,obra,media,4334
PC_0030,-16.382546,-71.545282,hundimiento,alta,2704
PC_0031,-16.388373,-71.504815,obra,baja,3362
PC_0032,-16.399785,-71.529586,hundimiento,baja,3402
PC_0033,-16.419144,-71.518858,contaminacion,alta,1905
PC_0034,-16.418343,-71.577936,deslizamiento,alta,2606
PC_0035,-16.436754,-71.546196,obra,media,4709
PC_0036,-16.403163,-71.510044,hundimiento,baja,1657
PC_0037,-16.350686,-71.501378,deslizamiento,alta,1229
PC_0038,-16.446261,-71.534879,obra,alta,3866
PC_0039,-16.422978,-71.592632,hundimiento,media,3842
PC_0040,-16.426053,-71.588255,deslizamiento,alta,1814
PC_0041,-16.420314,-71.51985,deslizamiento,baja,2769
PC_0042,-16.371858,-71.598321,obra,alta,3487
PC_0043,-16.399546,-71.589377,inundacion,media,4733
PC_0044,-16.388018,-71.544842,inundacion,baja,3692
PC_0045,-16.38905,-71.586814,obra,baja,3016
PC_0046,-16.352527,-71.59064,deslizamiento,media,981
PC_0047,-16.352902,-71.577015,deslizamiento,baja,3782
PC_0048,-16.394241,-71.587026,hundimiento,baja,1555
PC_0049,-16.359657,-71.566416,contaminacion,media,3380
PC_0050,-16.375374,-71.518065,deslizamiento,baja,4979
PC_0051,-16.402465,-71.575766,deslizamiento,baja,2260
PC_0052,-16.379089,-71.551778,obra,alta,4537
PC_0053,-16.388184,-71.530806,deslizamiento,alta,362
PC_0054,-16.414417,-71.537689,obra,media,204
PC_0055,-16.397764,-71.579903,obra,alta,860
PC_0056,-16.447975,-71.515174,obra,media,2468
PC_0057,-16.438081,-71.576654,contaminacion,alta,1550
PC_0058,-16.3535,-71.538389,obra,baja,2334
PC_0059,-16.393485,-71.501216,contaminacion,baja,650
PC_0060,-16.384271,-71.563535,obra,baja,260
PC_0061,-16.374017,-71.599823,obra,media,2090
PC_0062,-16.394704,-71.532078,inundacion,media,565
PC_0063,-16.44806,-71.560134,inundacion,baja,1920
PC_0064,-16.44819,-71.552179,contaminacion,baja,198
PC_0065,-16.372705,-71.504113,obra,alta,3025
PC_0066,-16.444748,-71.554932,hundimiento,alta,3526
PC_0067,-16.420633,-71.559338,hundimiento,media,1916
PC_0068,-16.362997,-71.594742,obra,alta,4620
PC_0069,-16.43013,-71.512491,obra,alta,114
PC_0070,-16.421729,-71.547682,contaminacion,alta,4847
PC_0071,-16.417094,-71.570728,deslizamiento,baja,2008
PC_0072,-16.415252,-71.551085,inundacion,alta,1780
PC_0073,-16.433453,-71.571462,obra,media,2718
PC_0074,-16.420217,-71.545043,obra,baja,4707
PC_0075,-16.400168,-71.570771,contaminacion,baja,4470
PC_0076,-16.393422,-71.545095,deslizamiento,baja,2137
PC_0077,-16.419633,-71.550709,deslizamiento,media,4861
PC_0078,-16.43413,-71.593867,contaminacion,media,154
PC_0079,-16.384561,-71.557431,inundacion,baja,277
PC_0080,-16.408387,-71.542974,contaminacion,media,1285
PC_0081,-16.435965,-71.573175,inundacion,media,2076
PC_0082,-16.414628,-71.512426,contaminacion,media,2709
PC_0083,-16.433225,-71.556623,obra,alta,3063
PC_0084,-16.35242,-71.587173,hundimiento,baja,3238
PC_0085,-16.362919,-71.507309,deslizamiento,alta,4643
PC_0086,-16.426508,-71.559183,contaminacion,alta,111
PC_0087,-16.447697,-71.507223,deslizamiento,alta,1777
PC_0088,-16.387678,-71.501881,obra,baja,1065
PC_0089,-16.406227,-71.518162,hundimiento,media,2571
PC_0090,-16.360625,-71.592352,hundimiento,baja,1213
PC_0091,-16.429536,-71.51537,obra,baja,503
PC_0092,-16.439855,-71.529739,inundacion,media,1918
PC_0093,-16.443371,-71.555535,contaminacion,alta,1751
PC_0094,-16.380272,-71.545137,contaminacion,media,3117
PC_0095,-16.389492,-71.523203,hundimiento,media,2541
PC_0096,-16.410838,-71.567757,deslizamiento,media,3100
PC_0097,-16.430741,-71.520376,obra,alta,2798
PC_0098,-16.362346,-71.533063,contaminacion,media,2280
PC_0099,-16.355842,-71.589373,hundimiento,media,3025
PC_0100,-16.431793,-71.510676,hundimiento,media,3855
PC_0101,-16.397669,-71.525548,contaminacion,alta,4181
PC_0102,-16.439932,-71.521025,contaminacion,alta,4964
PC_0103,-16.424573,-71.590563,contaminacion,baja,4868
PC_0104,-16.411544,-71.503198,obra,alta,1323
PC_0105,-16.435232,-71.563955,inundacion,baja,141
PC_0106,-16.358949,-71.58039,hundimiento,media,3864
PC_0107,-16.426546,-71.582718,hundimiento,media,3752
PC_0108,-16.363838,-71.567194,deslizamiento,alta,909
PC_0109,-16.395885,-71.516926,obra,media,4039
PC_0110,-16.361192,-71.511776,obra,alta,2598
PC_0111,-16.412534,-71.5981,deslizamiento,media,3879
PC_0112,-16.394947,-71.57397,inundacion,baja,2955
PC_0113,-16.373067,-71.505644,contaminacion,media,1512
PC_0114,-16.374785,-71.532708,hundimiento,media,4834
PC_0115,-16.434503,-71.522632,contaminacion,media,4883
PC_0116,-16.381387,-71.54955,deslizamiento,media,3724
PC_0117,-16.376588,-71.537564,inundacion,baja,3780
PC_0118,-16.445875,-71.589404,obra,baja,1032
PC_0119,-16.403727,-71.531872,deslizamiento,alta,1619
PC_0120,-16.362739,-71.538388,obra,media,4842
PC_0121,-16.411311,-71.563286,obra,media,3260
PC_0122,-16.434419,-71.560786,contaminacion,alta,4954
PC_0123,-16.37086,-71.516087,inundacion,media,3468
PC_0124,-16.394849,-71.51973,deslizamiento,baja,365
PC_0125,-16.386809,-71.51034,hundimiento,alta,1485
PC_0126,-16.440429,-71.55563,hundimiento,alta,4100
PC_0127,-16.357471,-71.559123,deslizamiento,alta,135
PC_0128,-16.373238,-71.517796,obra,alta,1121
PC_0129,-16.363239,-71.53698,hundimiento,media,3322
PC_0130,-16.406392,-71.546269,obra,media,721
PC_0131,-16.365196,-71.51593,obra,alta,4096
PC_0132,-16.350972,-71.501871,obra,media,376
PC_0133,-16.377244,-71.557634,hundimiento,baja,3923
PC_0134,-16.418691,-71.508637,deslizamiento,alta,1480
PC_0135,-16.353087,-71.565971,hundimiento,baja,1568
PC_0136,-16.444485,-71.564492,obra,baja,630
PC_0137,-16.44057,-71.56145,hundimiento,alta,429
PC_0138,-16.417448,-71.57618,inundacion,baja,513
PC_0139,-16.428216,-71.526387,contaminacion,alta,1114
PC_0140,-16.419204,-71.575983,inundacion,media,198
PC_0141,-16.385242,-71.552018,deslizamiento,alta,1756
PC_0142,-16.361954,-71.5802,inundacion,alta,435
PC_0143,-16.434456,-71.534303,hundimiento,media,945
PC_0144,-16.352047,-71.571211,inundacion,alta,3945
PC_0145,-16.373638,-71.594801,obra,alta,1200
PC_0146,-16.42681,-71.597258,inundacion,baja,1252
PC_0147,-16.368742,-71.540722,deslizamiento,alta,4907
PC_0148,-16.383365,-71.542232,hundimiento,media,4843
PC_0149,-16.444633,-71.522857,obra,media,1021
PC_0150,-16.364898,-71.552123,hundimiento,baja,2858
PC_0151,-16.423132,-71.549736,obra,media,4108
PC_0152,-16.352783,-71.582876,deslizamiento,media,1961
PC_0153,-16.372694,-71.568422,contaminacion,media,1457
PC_0154,-16.410573,-71.584631,deslizamiento,baja,847
PC_0155,-16.447142,-71.503301,contaminacion,baja,2460
PC_0156,-16.438424,-71.561541,obra,media,1953
PC_0157,-16.393641,-71.584723,inundacion,baja,219
PC_0158,-16.367099,-71.532376,contaminacion,alta,1465
PC_0159,-16.436992,-71.524113,hundimiento,media,2640
PC_0160,-16.446914,-71.512014,inundacion,baja,3556
PC_0161,-16.424337,-71.515584,inundacion,media,1230
PC_0162,-16.415664,-71.591965,inundacion,media,3008
PC_0163,-16.397508,-71.579988,hundimiento,baja,363
PC_0164,-16.352713,-71.542077,inundacion,baja,3516
PC_0165,-16.442684,-71.533218,contaminacion,alta,4344
PC_0166,-16.378921,-71.509131,hundimiento,baja,152
PC_0167,-16.377949,-71.595251,contaminacion,alta,2299
PC_0168,-16.417086,-71.564602,obra,baja,3433
PC_0169,-16.375911,-71.575102,hundimiento,alta,4646
PC_0170,-16.39424,-71.514494,obra,alta,2839
PC_0171,-16.358596,-71.541343,inundacion,baja,840
PC_0172,-16.370431,-71.538424,contaminacion,baja,1772
PC_0173,-16.398796,-71.529513,contaminacion,alta,1977
PC_0174,-16.429601,-71.526502,obra,alta,1535
PC_0175,-16.354333,-71.571238,hundimiento,baja,3609
PC_0176,-16.447558,-71.50461,inundacion,media,2274
PC_0177,-16.408842,-71.542109,obra,media,2301
PC_0178,-16.357281,-71.5125,obra,media,2984
PC_0179,-16.396824,-71.56358,contaminacion,alta,4148
PC_0180,-16.424388,-71.544535,deslizamiento,baja,1564
PC_0181,-16.422433,-71.510879,contaminacion,alta,2372
PC_0182,-16.447914,-71.575066,inundacion,baja,4058
PC_0183,-16.405143,-71.519133,contaminacion,baja,319
PC_0184,-16.445128,-71.524491,deslizamiento,baja,4686
PC_0185,-16.38121,-71.541279,hundimiento,media,4928
PC_0186,-16.368558,-71.511094,deslizamiento,baja,1965
PC_0187,-16.395672,-71.583123,contaminacion,baja,4854
PC_0188,-16.440634,-71.58753,deslizamiento,baja,2181
PC_0189,-16.383781,-71.574973,contaminacion,baja,2606
PC_0190,-16.406271,-71.583843,hundimiento,media,3765
PC_0191,-16.411411,-71.576946,hundimiento,media,2367
PC_0192,-16.363977,-71.592232,inundacion,baja,424
PC_0193,-16.375811,-71.546104,deslizamiento,baja,650
PC_0194,-16.423898,-71.541965,hundimiento,media,4998
PC_0195,-16.392687,-71.559266,contaminacion,baja,2090
PC_0196,-16.386605,-71.521682,hundimiento,media,1237
PC_0197,-16.412606,-71.556824,contaminacion,baja,4919
PC_0198,-16.432275,-71.583249,deslizamiento,alta,3506
PC_0199,-16.43184,-71.513374,deslizamiento,media,1405
PC_0200,-16.399244,-71.571691,contaminacion,media,4701
PC_0201,-16.353451,-71.501763,inundacion,alta,4760
PC_0202,-16.425602,-71.573639,deslizamiento,alta,4236
PC_0203,-16.37044,-71.563487,deslizamiento,baja,4131
PC_0204,-16.422523,-71.588588,deslizamiento,media,4834
PC_0205,-16.426074,-71.565378,contaminacion,baja,138
PC_0206,-16.400266,-71.594546,hundimiento,alta,2998
PC_0207,-16.427466,-71.575912,contaminacion,media,1521
PC_0208,-16.395041,-71.529174,inundacion,alta,3419
PC_0209,-16.351279,-71.595857,hundimiento,media,3313
PC_0210,-16.374334,-71.569055,hundimiento,alta,1064
PC_0211,-16.402076,-71.599368,hundimiento,baja,269
PC_0212,-16.433507,-71.540587,obra,baja,2709
PC_0213,-16.399796,-71.563929,deslizamiento,baja,3456
PC_0214,-16.359702,-71.56569,deslizamiento,baja,3247
PC_0215,-16.42627,-71.572107,contaminacion,alta,391
PC_0216,-16.427751,-71.586764,inundacion,alta,1489
PC_0217,-16.429964,-71.530951,obra,media,2742
PC_0218,-16.394478,-71.502651,contaminacion,media,1616
PC_0219,-16.412581,-71.549007,inundacion,alta,3401
PC_0220,-16.362807,-71.595362,deslizamiento,alta,1541
PC_0221,-16.428896,-71.581503,contaminacion,baja,4025
PC_0222,-16.411056,-71.572448,inundacion,alta,4369
PC_0223,-16.389719,-71.594326,hundimiento,media,166
PC_0224,-16.401964,-71.558466,obra,baja,1321
PC_0225,-16.371464,-71.555921,obra,media,1198
PC_0226,-16.378382,-71.555043,obra,baja,4024
PC_0227,-16.410731,-71.586684,deslizamiento,baja,1476
PC_0228,-16.363581,-71.552155,inundacion,baja,308
PC_0229,-16.406862,-71.528879,contaminacion,media,1070
PC_0230,-16.405158,-71.578202,inundacion,alta,4485
PC_0231,-16.371219,-71.528682,inundacion,media,1286
PC_0232,-16.410644,-71.512216,obra,media,2539
PC_0233,-16.42477,-71.579178,contaminacion,baja,3503
PC_0234,-16.396837,-71.558219,hundimiento,alta,1465
PC_0235,-16.436435,-71.544505,inundacion,media,2627
PC_0236,-16.411002,-71.583581,deslizamiento,baja,661
PC_0237,-16.376862,-71.545247,obra,baja,3295
PC_0238,-16.403397,-71.503978,deslizamiento,media,1275
PC_0239,-16.367226,-71.567885,contaminacion,baja,4825
PC_0240,-16.440172,-71.517894,hundimiento,media,2077
PC_0241,-16.391514,-71.510985,hundimiento,baja,3419
PC_0242,-16.37434,-71.590521,contaminacion,baja,320
PC_0243,-16.438357,-71.549589,obra,media,1582
PC_0244,-16.433261,-71.513169,hundimiento,baja,278
PC_0245,-16.358428,-71.551916,inundacion,alta,3112
PC_0246,-16.399872,-71.590938,deslizamiento,baja,4574
PC_0247,-16.414042,-71.535116,inundacion,baja,403
PC_0248,-16.441238,-71.551856,contaminacion,alta,2757
PC_0249,-16.412307,-71.558965,deslizamiento,media,1529
